"region","type","ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Mogollon Highlands","Puerco Black-on-white","Cibola White Ware"
"Mogollon Highlands","Snowflake Black-on-white","Cibola White Ware"
"Mogollon Highlands","Reserve Black-on-white","Cibola White Ware"
"Mogollon Highlands","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Mogollon Highlands","Wingate Black-on-red","Early White Mountain Red Ware"
"Mogollon Highlands","Wingate Polychrome","Early White Mountain Red Ware"
"Mogollon Highlands","St. Johns Polychrome","Early White Mountain Red Ware"
"Mogollon Highlands","San Francisco Red","Early Mogollon Red Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Brown ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Snowflake Black-on-white","Cibola White Ware"
"Mogollon Highlands","Reserve Black-on-white","Cibola White Ware"
"Mogollon Highlands","Tularosa Black-on-white","Cibola White Ware"
"Mogollon Highlands","Reserve/Tularosa Black-on-white","Cibola White Ware"
"Mogollon Highlands","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Mogollon Highlands","St. Johns Black-on-red","Early White Mountain Red Ware"
"Mogollon Highlands","Cibola Corrugated Gray Ware, Undifferentiated","Cibola Gray Ware"
"Mogollon Highlands","Cibola Gray Ware, Undifferentiated","Cibola Gray Ware"
"Mogollon Highlands","Snowflake Black-on-white","Cibola White Ware"
"Mogollon Highlands","Reserve Black-on-white","Cibola White Ware"
"Mogollon Highlands","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Mogollon Highlands","Wingate Black-on-red","Early White Mountain Red Ware"
"Mogollon Highlands","St. Johns Black-on-red","Early White Mountain Red Ware"
"Mogollon Highlands","St. Johns Polychrome","Early White Mountain Red Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Brown ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Cibola Corrugated Gray Ware, Undifferentiated","Cibola Gray Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Brown ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Red Mesa Black-on-white","Cibola White Ware"
"Mogollon Highlands","Puerco Black-on-white","Cibola White Ware"
"Mogollon Highlands","Snowflake Black-on-white","Cibola White Ware"
"Mogollon Highlands","Reserve Black-on-white","Cibola White Ware"
"Mogollon Highlands","Tularosa Black-on-white","Cibola White Ware"
"Mogollon Highlands","Reserve/Tularosa Black-on-white","Cibola White Ware"
"Mogollon Highlands","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Mogollon Highlands","Mimbres White Ware, Undifferentiated","Mimbres White Ware"
"Mogollon Highlands","Wingate Black-on-red","Early White Mountain Red Ware"
"Mogollon Highlands","St. Johns Black-on-red","Early White Mountain Red Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Brown ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Reserve/Tularosa Black-on-white","Cibola White Ware"
"Mogollon Highlands","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Red Mesa Black-on-white","Cibola White Ware"
"Mogollon Highlands","Snowflake Black-on-white","Cibola White Ware"
"Mogollon Highlands","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Mogollon Highlands","Wingate Black-on-red","Early White Mountain Red Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Brown ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Alma Neck Banded","Mogollon Brown Ware"
"Mogollon Highlands","Red Mesa Black-on-white","Cibola White Ware"
"Mogollon Highlands","Kiatuthlanna Black-on-white","Cibola White Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Brown ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Escavada Black-on-white","Cibola White Ware"
"Mogollon Highlands","Tularosa Black-on-white","Cibola White Ware"
"Mogollon Highlands","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Brown ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Snowflake Black-on-white","Cibola White Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Brown ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Mogollon Highlands","Cibola Gray Ware, Undifferentiated","Cibola Gray Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Snowflake Black-on-white","Cibola White Ware"
"Mogollon Highlands","Reserve Black-on-white","Cibola White Ware"
"Mogollon Highlands","Tularosa Black-on-white","Cibola White Ware"
"Mogollon Highlands","Reserve/Tularosa Black-on-white","Cibola White Ware"
"Mogollon Highlands","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Brown ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Escavada Black-on-white","Cibola White Ware"
"Mogollon Highlands","Reserve Black-on-white","Cibola White Ware"
"Mogollon Highlands","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Mogollon Highlands","St. Johns Black-on-red","Early White Mountain Red Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Snowflake Black-on-white","Cibola White Ware"
"Mogollon Highlands","Tularosa Black-on-white","Cibola White Ware"
"Mogollon Highlands","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Brown ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Snowflake Black-on-white","Cibola White Ware"
"Mogollon Highlands","Reserve Black-on-white","Cibola White Ware"
"Mogollon Highlands","Tularosa Black-on-white","Cibola White Ware"
"Mogollon Highlands","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Mogollon Highlands","St. Johns Black-on-red","Early White Mountain Red Ware"
"Mogollon Highlands","St. Johns Polychrome","Early White Mountain Red Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Brown ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Escavada Black-on-white","Cibola White Ware"
"Mogollon Highlands","Reserve Black-on-white","Cibola White Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Mogollon Highlands","Wingate Black-on-red","Early White Mountain Red Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Reserve Black-on-white","Cibola White Ware"
"Mogollon Highlands","Wingate Black-on-red","Early White Mountain Red Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Reserve Black-on-white","Cibola White Ware"
"Mogollon Highlands","Wingate Black-on-red","Early White Mountain Red Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Reserve Black-on-white","Cibola White Ware"
"Mogollon Highlands","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Mogollon Highlands","Mogollon Brown ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Puerco Black-on-white","Cibola White Ware"
"Mogollon Highlands","Wingate Black-on-red","Early White Mountain Red Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Brown ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Zoned Corrugated Brown Ware","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Escavada Black-on-white","Cibola White Ware"
"Mogollon Highlands","Tularosa Black-on-white","Cibola White Ware"
"Mogollon Highlands","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Brown ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Zoned Corrugated Brown Ware","Mogollon Brown Ware"
"Mogollon Highlands","Zoned Corrugated Brown Ware","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Reserve Black-on-white","Cibola White Ware"
"Mogollon Highlands","Tularosa Black-on-white","Cibola White Ware"
"Mogollon Highlands","Reserve/Tularosa Black-on-white","Cibola White Ware"
"Mogollon Highlands","Wingate Black-on-red","Early White Mountain Red Ware"
"Mogollon Highlands","Wingate Polychrome","Early White Mountain Red Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Brown ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Zoned Corrugated Brown Ware","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Brown ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Zoned Corrugated Brown Ware","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Puerco Black-on-white","Cibola White Ware"
"Mogollon Highlands","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Mogollon Highlands","Wingate Black-on-red","Early White Mountain Red Ware"
"Mogollon Highlands","Wingate Polychrome","Early White Mountain Red Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Brown ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Puerco Black-on-white","Cibola White Ware"
"Mogollon Highlands","Escavada Black-on-white","Cibola White Ware"
"Mogollon Highlands","Tularosa Black-on-white","Cibola White Ware"
"Mogollon Highlands","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Mogollon Highlands","Wingate Black-on-red","Early White Mountain Red Ware"
"Mogollon Highlands","Wingate Polychrome","Early White Mountain Red Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Brown ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Tularosa Fillet Rim","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Mogollon Highlands","Tularosa Black-on-white","Cibola White Ware"
"Mogollon Highlands","Wingate Black-on-red","Early White Mountain Red Ware"
"Mogollon Highlands","Wingate Polychrome","Early White Mountain Red Ware"
"Mogollon Highlands","Alma Series type","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Brown ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Mogollon Highlands","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
